id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52767105,Home in Cape Town · 4 bedrooms · 5 beds · 4.5 baths,46146353,Darren,,Ward 61,-34.18638,18.42316,Entire home/apt,4643,2,2,2022-12-26,0.11,3,363,1,
52771376,Condo in Cape Town · ★4.69 · 1 bedroom · 1 bed · 1 bath,7304467,Laurene,,Ward 54,-33.91062,18.39606,Entire home/apt,886,2,35,2023-04-29,1.82,21,332,18,
52771603,Guest suite in Cape Town · ★5.0 · 1 bedroom · 2 beds · 1 bath,147923851,Samantha,,Ward 15,-34.06081,18.81838,Entire home/apt,800,2,15,2023-04-20,0.74,1,356,3,
52773955,Rental unit in Cape Town · ★4.91 · 1 bedroom · 1 bed · 1 bath,426158600,Faizel,,Ward 115,-33.89924,18.40808,Entire home/apt,1390,2,33,2023-04-15,2.08,1,345,23,
52782308,Condo in Cape Town · ★4.79 · 1 bedroom · 1 bed · 1 bath,281646889,Scotty,,Ward 115,-33.91675,18.42005,Entire home/apt,656,2,38,2023-06-12,1.88,107,309,29,
52783789,Condo in Cape Town · ★4.94 · 2 bedrooms · 3 beds · 2.5 baths,60527712,Tshego,,Ward 55,-33.88402,18.49523,Entire home/apt,1220,2,18,2023-01-12,0.94,1,192,5,
52784233,Vacation home in Cape Town · 3 bedrooms · 3 beds · 3 baths,110923163,Christina,,Ward 83,-34.10526,18.82625,Entire home/apt,2750,10,0,,,1,0,0,
52784414,Rental unit in Cape Town · ★4.31 · 2 bedrooms · 2 beds · 2 baths,427326493,Propr,,Ward 23,-33.81038,18.47063,Entire home/apt,745,2,55,2023-05-31,3.00,1,298,38,
52785478,Condo in Cape Town · ★4.47 · 2 bedrooms · 2 beds · 2 baths,281646889,Scotty,,Ward 115,-33.92948,18.45777,Entire home/apt,596,2,17,2023-03-21,0.89,107,346,14,
52786950,Rental unit in Cape Town · ★4.60 · Studio · 1 bed · 1 bath,257734440,Helle,,Ward 115,-33.91262,18.41936,Entire home/apt,543,2,30,2023-04-02,1.49,27,106,7,
52788301,Villa in Cape Town · 5 bedrooms · 5 beds · 4 baths,20602791,Colm,,Ward 21,-33.85227,18.64666,Entire home/apt,5500,7,0,,,1,267,0,
52788303,Rental unit in Cape Town · ★4.82 · 1 bedroom · 1 bed · 1 bath,29575024,Marguerite,,Ward 54,-33.963516,18.377651,Entire home/apt,650,3,17,2023-03-22,0.94,6,193,10,
